panel_id,manufacturer,original_wattage,current_wattage,years_operating,degradation_rate,temperature,dust_level,efficiency,installation_date,farm,block,latitude,longitude
PANEL-00000,Canadian Solar,400,369.9,6,1.3,45.4,14.9,92.5,2025-05-18,"Bhadla Solar Park, Rajasthan",Block A1,27.5078,71.87727
PANEL-00001,SunPower,500,483.5,6,0.56,33.8,21.7,96.7,2017-12-21,"Bhadla Solar Park, Rajasthan",Block A2,27.5078,71.88702
PANEL-00002,LG,450,413.3,7,1.21,35.3,4.5,91.8,2023-05-31,"Bhadla Solar Park, Rajasthan",Block A3,27.5078,71.89677
PANEL-00003,LG,400,353.7,11,1.11,45.4,0.2,88.4,2018-09-14,"Bhadla Solar Park, Rajasthan",Block A4,27.5078,71.90653
PANEL-00004,Canadian Solar,400,400.0,0,1.02,34.7,24.3,100.0,2021-09-16,"Bhadla Solar Park, Rajasthan",Block A5,27.5078,71.91627
PANEL-00005,Trina,550,509.2,13,0.59,38.8,15.5,92.6,2021-06-15,"Bhadla Solar Park, Rajasthan",Block A6,27.5078,71.92602
PANEL-00006,SunPower,400,365.7,6,1.48,51.3,17.0,91.4,2018-09-30,"Bhadla Solar Park, Rajasthan",Block A7,27.5078,71.93577
PANEL-00007,SunPower,450,436.3,6,0.51,39.0,23.6,97.0,2021-01-04,"Bhadla Solar Park, Rajasthan",Block A8,27.5078,71.94553
PANEL-00008,LG,400,396.5,1,0.89,47.8,15.2,99.1,2024-07-13,"Bhadla Solar Park, Rajasthan",Block B1,27.5188,71.87727
PANEL-00009,Trina,450,409.4,14,0.67,29.0,9.8,91.0,2022-04-25,"Bhadla Solar Park, Rajasthan",Block B2,27.5188,71.88702
PANEL-00010,Canadian Solar,550,503.5,7,1.26,26.2,14.2,91.5,2022-07-19,"Bhadla Solar Park, Rajasthan",Block B3,27.5188,71.89677
PANEL-00011,LG,550,455.2,14,1.34,36.5,11.2,82.8,2014-11-21,"Bhadla Solar Park, Rajasthan",Block B4,27.5188,71.90653
PANEL-00012,Trina,500,414.8,13,1.43,30.9,14.3,83.0,2023-03-01,"Bhadla Solar Park, Rajasthan",Block B5,27.5188,71.91627
PANEL-00013,SunPower,450,400.0,8,1.46,51.9,21.1,88.9,2025-09-24,"Bhadla Solar Park, Rajasthan",Block B6,27.5188,71.92602
PANEL-00014,Canadian Solar,550,456.1,14,1.33,26.5,13.6,82.9,2012-03-17,"Bhadla Solar Park, Rajasthan",Block B7,27.5188,71.93577
PANEL-00015,Panasonic,500,455.4,14,0.67,31.2,0.4,91.1,2019-08-16,"Bhadla Solar Park, Rajasthan",Block B8,27.5188,71.94553
PANEL-00016,LG,450,422.6,7,0.89,46.4,19.8,93.9,2014-05-28,"Bhadla Solar Park, Rajasthan",Block C1,27.5298,71.87727
PANEL-00017,Panasonic,400,377.7,4,1.43,30.9,16.3,94.4,2018-03-03,"Bhadla Solar Park, Rajasthan",Block C2,27.5298,71.88702
